Bug Number,Revealing Factor,Reveal Group,Sanitizer,Crash Type,Arch,Finding Date,Revealing Date,Merge Date,Guilty Date,D2 (days),D1 (days),D1 since Syzkaller,Total Delay,D1 Ratio,Hidden-on-Birth,Before Syzbot,Old/New,Location,Root Dir,,,,,
1283,Guilty Merge,Guilty Commit,Kasan,Use-after-free,amd64,1/5/2019,12/18/2018,12/18/2018,11/9/2018,18,0,0,18,0,0,After,New,net/xfrm,net,,,,,
1284,Guilty Merge,Guilty Commit,Kasan,Global-out-of-bounds,amd64,1/23/2019,12/19/2018,12/19/2018,11/19/2018,35,0,0,35,0,0,After,New,lib,lib,,,,,
1285,Guilty Merge,Guilty Commit,Kasan,Use-after-free,i386,1/10/2019,12/12/2018,12/12/2018,12/11/2018,29,0,0,29,0,0,After,New,kernel,kernel,,,,,
1286,Guilty Merge,Guilty Commit,none,Warning,amd64,11/15/2018,10/31/2018,10/31/2018,10/1/2018,15,0,0,15,0,0,After,New,fs/fuse,fs,,,,,
1287,Guilty Merge,Guilty Commit,none,Warning,i386,11/14/2018,11/6/2018,11/6/2018,11/3/2018,8,0,0,8,0,0,After,New,net/netfilter,net,,,,,
1288,Guilty Merge,Guilty Commit,none,Warning,amd64,10/11/2018,9/25/2018,9/25/2018,9/20/2018,16,0,0,16,0,0,After,New,drivers/usb/core,drivers,,,,,
1289,Guilty Merge,Guilty Commit,none,Warning,amd64,8/18/2018,8/17/2018,8/17/2018,6/27/2018,1,0,0,1,0,0,After,New,fs/notify,fs,,,,,
1290,Guilty Merge,Guilty Commit,Kasan,Slab-Out-of-Bounds,amd64,4/10/2018,4/10/2018,4/10/2018,3/14/2018,0,0,0,0,0,0,After,New,kernel/trace,kernel,,,,,
1291,Guilty Merge,Guilty Commit,Kasan,Slab-Out-of-Bounds,amd64,6/7/2018,6/6/2018,6/6/2018,5/11/2018,1,0,0,1,0,0,After,New,crypto,crypto,,,,,
1292,Guilty Merge,Guilty Commit,Kasan,Slab-Out-of-Bounds,amd64,6/13/2018,6/5/2018,6/5/2018,5/19/2018,8,0,0,8,0,0,After,New,crypto,crypto,,,,,
1293,Guilty Merge,Guilty Commit,Kasan,Slab-Out-of-Bounds,i386,6/8/2018,6/6/2018,6/6/2018,5/11/2018,2,0,0,2,0,0,After,New,crypto,crypto,,,,,
1294,Guilty Merge,Guilty Commit,Kasan,Slab-Out-of-Bounds,i386,6/8/2018,6/6/2018,6/6/2018,5/11/2018,2,0,0,2,0,0,After,New,crypto,crypto,,,,,
1295,Guilty Merge,Guilty Commit,Kasan,Slab-Out-of-Bounds,amd64,6/8/2018,6/6/2018,6/6/2018,5/11/2018,2,0,0,2,0,0,After,New,crypto,crypto,,,,,
1296,Guilty Merge,Guilty Commit,none,Bug,amd64,6/23/2018,6/15/2018,6/15/2018,6/15/2018,8,0,0,8,0,0,After,New,arch/x86/net,arch,,,,,
1297,Guilty Merge,Guilty Commit,Kasan,Slab-Out-of-Bounds,i386,6/7/2018,6/6/2018,6/6/2018,5/11/2018,1,0,0,1,0,0,After,New,arch/x86/crypto,arch,,,,,
1298,Guilty Merge,Guilty Commit,Kasan,Slab-Out-of-Bounds,i386,6/7/2018,6/6/2018,6/6/2018,5/11/2018,1,0,0,1,0,0,After,New,crypto,crypto,,,,,
1299,Guilty Merge,Guilty Commit,Kasan,Slab-Out-of-Bounds,amd64,6/7/2018,6/6/2018,6/6/2018,5/11/2018,1,0,0,1,0,0,After,New,crypto,crypto,,,,,
1300,Guilty Commit,Guilty Commit,none,GPF,amd64,2/20/2018,1/26/2018,1/26/2018,1/26/2018,25,0,0,25,0,0,After,New,net,net,,,,,
1301,Guilty Merge,Guilty Commit,Kasan,Slab-Out-of-Bounds,amd64,4/20/2018,4/20/2018,4/20/2018,4/12/2018,0,0,0,0,0,0,After,New,net/sctp,net,,,,,
1302,Guilty Merge,Guilty Commit,Kasan,Stack-out-of-bounds,amd64,1/18/2018,1/16/2018,1/16/2018,1/15/2018,2,0,0,2,0,0,After,New,lib,lib,,,,,
1308,Merge Commit,Kernel Reveal,none,warning,amd64,8/16/2022,3/30/2020,11/14/2012,10/29/2012,869,2693,982,1851,0.5305,1,Before,Old,drivers/usb/core,drivers,,,,,
1347,Merge Commit,Kernel Reveal,none,warning,amd64,6/7/2021,3/30/2020,,2/5/2013,434,2610,982,1416,0.6935,1,Before,Old,drivers/usb/core,drivers,,,,,
1370,Template,Template,none,warning,amd64,7/30/2023,4/3/2023,1/3/2017,1/2/2017,118,2281,2081,2199,0.9463,1,Before,Old,net/rds,net,,,,,
1378,Syzkaller Commit,Syzkaller Commit,Kmemleak,Memory Leak,amd64,5/30/2019,12/29/2018,,4/16/2005,152,5005,525,677,0.7755,1,Before,Old,drivers/net/ppp,drivers,,,,,
1381,Template,Template,none,deadlock,amd64,5/17/2022,4/22/2021,,2/26/2009,390,4438,1370,1760,0.7784,1,Before,Old,net/rds,net,,,,,
1389,Blocking Bug,Blocking Bug,none,warning,amd64,9/26/2023,8/11/2022,5/27/2021,5/24/2021,411,441,441,852,0.5176,1,After,Old,net/netfilter,net,,,,,
1402,Guilty Merge,Guilty Commit,none,deadlock,amd64,10/20/2023,10/17/2023,10/17/2023,10/11/2023,3,0,0,3,0,0,After,New,net/bluetooth,net,,,,,
1410,Guilty Merge,Guilty Commit,none,warning,amd64,12/14/2023,6/22/2023,6/22/2023,6/21/2023,175,0,0,175,0,0,After,New,net/mptcp,net,,,,,
1412,Blocking Bug,Blocking Bug,none,deadlock,amd64,3/17/2022,6/26/2020,6/13/2020,5/19/2020,629,13,13,642,0.0202,1,After,Old,fs,fs,,,,,
1415,Template,Template,none,warning,amd64,12/9/2023,11/11/2023,,10/18/2023,28,24,24,52,0.4615,1,After,New,virt/kvm,virt,,,,,
1422,Merge Commit,Kernel Reveal,none,GPF,amd64,12/11/2023,12/23/2021,6/3/2016,6/3/2016,718,2029,1615,2333,0.6922,1,Before,Old,net/core,net,,,,,
1423,Syzkaller Commit,Syzkaller Commit,none,warning,amd64,6/27/2023,9/22/2021,1/9/2018,1/4/2018,643,1352,1352,1995,0.6777,1,After,Old,net/ipv6,net,,,,,
1426,Merge Commit,Kernel Reveal,none,warning,amd64,6/28/2023,2/16/2023,8/26/2022,8/25/2022,132,174,174,306,0.5686,1,After,New,net/mac80211,net,,,,,
1427,Guilty Merge,Guilty Commit,none,GPF,amd64,10/23/2023,10/19/2023,10/19/2023,10/13/2023,4,0,0,4,0,0,After,New,net/dccp,net,,,,,
1428,Blocking Bug,Blocking Bug,none,GPF,amd64,7/1/2023,6/30/2023,6/28/2023,5/23/2023,1,2,2,3,0.6667,1,After,New,fs,fs,,,,,
1435,Guilty Merge,Guilty Commit,Kmemleak,Memory Leak,amd64,11/8/2023,11/7/2023,11/7/2023,10/31/2023,1,0,0,1,0,0,After,New,fs/overlayfs,fs,,,,,
1437,Guilty Merge,Guilty Commit,none,warning,amd64,11/3/2023,11/1/2023,11/1/2023,9/22/2023,2,0,0,2,0,0,After,New,block,block,,,,,
1438,Merge Commit,Kernel Reveal,Kasan,use-after-free,amd64,11/12/2023,11/10/2023,,8/13/2021,2,819,819,821,0.9976,1,After,Old,net/unix,net,,,,,
1440,Guilty Merge,Guilty Commit,none,GPF,amd64,11/2/2023,10/15/2023,10/15/2023,10/15/2023,18,0,0,18,0,0,After,New,drivers/ptp,drivers,,,,,
1443,Merge Commit,Kernel Reveal,none,warning,amd64,11/21/2023,11/3/2023,11/2/2023,10/31/2023,18,1,1,19,0.0526,1,After,New,fs/ext4,fs,,,,,
1446,Template,Template,Kasan,use-after-free,amd64,11/5/2019,11/2/2019,9/5/2019,9/4/2019,3,58,58,61,0.9508,1,After,New,net/can/j1939,net,,,,,
1447,Guilty Merge,Guilty Commit,Kasan,Stack-out-of-bounds,amd64,11/1/2023,10/27/2023,10/27/2023,10/27/2023,5,0,0,5,0,0,After,New,include/net,include,,,,,
1451,Syzkaller Commit,Syzkaller Commit,none,GPF,amd64,8/10/2021,4/21/2021,5/22/2020,5/21/2020,111,334,334,445,0.7506,1,After,Old,crypto,crypto,,,,,
1454,Guilty Merge,Guilty Commit,none,GPF,amd64,9/2/2023,9/1/2023,9/1/2023,8/22/2023,1,0,0,1,0,0,After,New,drivers/usb/core,drivers,,,,,
1455,Guilty Merge,Guilty Commit,Kasan,Slab-Out-of-Bounds,amd64,10/6/2023,10/1/2023,10/1/2023,9/20/2023,5,0,0,5,0,0,After,New,net/bluetooth,net,,,,,
1459,Guilty Merge,Guilty Commit,none,GPF,amd64,9/4/2023,9/1/2023,9/1/2023,8/22/2023,3,0,0,3,0,0,After,New,drivers/input/serio,drivers,,,,,
1464,Blocking Bug,Blocking Bug,none,warning,amd64,2/25/2023,2/16/2023,12/12/2022,12/12/2022,9,66,66,75,0.88,1,After,New,net/core,net,,,,,
1465,Merge Commit,Kernel Reveal,none,warning,amd64,9/6/2023,8/29/2023,,5/1/2012,8,4137,2229,2237,0.9964,1,Before,Old,net/ipv6,net,,,,,
1466,Blocking Bug,Blocking Bug,none,Bug,amd64,11/2/2023,10/19/2023,10/15/2023,10/15/2023,14,4,4,18,0.2222,1,After,New,drivers/ptp,drivers,,,,,
1467,Guilty Merge,Guilty Commit,none,GPF,amd64,9/3/2023,9/1/2023,9/1/2023,8/22/2023,2,0,0,2,0,0,After,New,net/nfc,net,,,,,
1468,Guilty Merge,Guilty Commit,none,deadlock,amd64,10/5/2023,10/4/2023,10/4/2023,9/18/2023,1,0,0,1,0,0,After,New,net/rfkill,net,,,,,
1469,Guilty Merge,Guilty Commit,none,GPF,amd64,9/11/2023,9/1/2023,9/1/2023,8/22/2023,10,0,0,10,0,0,After,New,net/ieee802154,net,,,,,
1472,Blocking Bug,Blocking Bug,none,GPF,amd64,9/3/2023,9/1/2023,9/1/2023,8/22/2023,2,0,0,2,0,0,After,New,net/bluetooth,net,,,,,
1476,Guilty Merge,Guilty Commit,none,Bug,amd64,9/3/2023,8/13/2023,8/13/2023,8/11/2023,21,0,0,21,0,0,After,New,net/bluetooth,net,,,,,
1481,Merge Commit,Kernel Reveal,Ubsan,shift-out-of-bounds,amd64,4/19/2023,2/22/2023,,9/20/2011,56,4173,2041,2097,0.9733,1,Before,Old,net/nfc/nci,net,,,,,
1482,Guilty Merge,Guilty Commit,none,warning,amd64,9/20/2023,9/13/2023,9/13/2023,9/13/2023,7,0,0,7,0,0,After,New,net/ipv4,net,,,,,
1488,Merge Commit,Kernel Reveal,none,Info,amd64,8/29/2023,8/28/2023,1/23/2020,1/23/2020,1,1313,1313,1314,0.9992,1,After,Old,fs,fs,,,,,
1504,Guilty Merge,Guilty Commit,none,Info,amd64,6/30/2023,5/24/2023,5/24/2023,5/23/2023,37,0,0,37,0,0,After,New,fs,fs,,,,,
1510,Syzkaller Commit,Syzkaller Commit,Kasan,use-after-free,amd64,10/28/2022,6/3/2022,4/30/2022,4/15/2022,147,34,34,181,0.1878,1,After,New,drivers/tty,drivers,,,,,
1511,Template,Template,none,warning,amd64,3/14/2023,4/27/2022,1/16/2021,1/8/2021,321,466,466,787,0.5921,1,After,Old,net/core,net,,,,,
1518,Guilty Merge,Guilty Commit,Kasan,use-after-free,amd64,8/29/2023,8/28/2023,8/28/2023,8/21/2023,1,0,0,1,0,0,After,New,fs/afs,fs,,,,,
1522,Guilty Merge,Guilty Commit,Kmemleak,Memory Leak,amd64,7/12/2023,5/23/2023,5/23/2023,5/23/2023,50,0,0,50,0,0,After,New,sound/core/seq,sound,,,,,
1525,Blocking Bug,Blocking Bug,Kmemleak,Memory Leak,amd64,7/8/2023,4/19/2020,,8/20/2010,1175,3530,1002,2177,0.4603,1,Before,Old,drivers/staging/rtl8712,drivers,,,,,
1528,Blocking Bug,Blocking Bug,Kmemleak,Memory Leak,amd64,2/20/2023,6/2/2022,3/29/2010,3/23/2010,263,4448,1776,2039,0.871,1,Before,Old,drivers/net/wireless/ath/ath9k,drivers,,,,,
1533,Blocking Bug,Blocking Bug,none,Info,amd64,5/30/2021,5/15/2020,3/29/2010,3/23/2010,380,3700,1028,1408,0.7301,1,Before,Old,net/core,net,,,,,
1536,Blocking Bug,Blocking Bug,none,GPF,amd64,10/27/2022,10/16/2022,3/29/2010,3/23/2010,11,4584,1912,1923,0.9943,1,Before,Old,include/linux,include,,,,,
1538,Syzkaller Commit,Syzkaller Commit,Kasan,use-after-free,amd64,11/5/2019,11/3/2019,9/5/2019,9/4/2019,2,59,59,61,0.9672,1,After,New,net/can/j1939,net,,,,,
1545,Syzkaller Commit,Syzkaller Commit,none,Bug,amd64,2/10/2022,4/21/2021,,2/14/2016,295,1893,1369,1664,0.8227,1,Before,Old,mm,mm,,,,,
1546,Guilty Merge,Guilty Commit,Kmemleak,Memory Leak,amd64,4/29/2023,4/27/2023,4/27/2023,3/29/2023,2,0,0,2,0,0,After,New,drivers/base,drivers,,,,,
1549,Guilty Merge,Guilty Commit,Kasan,use-after-free,amd64,5/1/2023,4/24/2023,4/24/2023,4/23/2023,7,0,0,7,0,0,After,New,net/bluetooth,net,,,,,
1550,Blocking Bug,Blocking Bug,none,Bug,amd64,5/1/2023,12/12/2022,,2/14/2016,140,2493,1969,2109,0.9336,1,Before,Old,mm,mm,,,,,
1556,Guilty Merge,Guilty Commit,none,deadlock,amd64,2/28/2023,2/28/2023,2/28/2023,2/25/2023,0,0,0,0,0,0,After,New,fs/jbd2,fs,,,,,
1560,Guilty Merge,Guilty Commit,none,GPF,amd64,2/27/2023,2/21/2023,2/21/2023,2/18/2023,6,0,0,6,0,0,After,New,net/can/j1939,net,,,,,
1567,Merge Commit,Kernel Reveal,Kasan,use-after-free,amd64,4/7/2022,3/24/2022,,12/5/2011,14,3762,1706,1720,0.9919,1,Before,Old,net/caif,net,,,,,
1575,Merge Commit,Kernel Reveal,none,warning,amd64,2/25/2023,8/12/2022,12/16/2015,12/15/2015,197,2431,1847,2044,0.9036,1,Before,Old,include/linux,include,,,,,
1577,Merge Commit,Kernel Reveal,Kasan,vmalloc-out-of-bounds,amd64,2/17/2023,8/25/2022,4/6/2014,4/5/2014,176,3063,1860,2036,0.9136,1,Before,Old,net/bridge/netfilter,net,,,,,
1579,Merge Commit,Kernel Reveal,none,warning,amd64,10/22/2022,10/21/2022,5/13/2022,4/28/2022,1,161,161,162,0.9938,1,After,New,mm,mm,,,,,
1580,Template,Template,Kasan,use-after-free,amd64,4/4/2023,4/3/2023,,9/26/2022,1,189,189,190,0.9947,1,After,New,lib,lib,,,,,
1581,Guilty Merge,Guilty Commit,none,warning,amd64,3/4/2023,3/3/2023,3/3/2023,2/17/2023,1,0,0,1,0,0,After,New,block,block,,,,,
1586,Guilty Merge,Guilty Commit,Kasan,use-after-free,amd64,2/26/2023,2/21/2023,2/21/2023,2/20/2023,5,0,0,5,0,0,After,New,net/sched,net,,,,,
1588,Guilty Commit,Guilty Commit,none,warning,amd64,2/7/2023,9/26/2022,,9/26/2022,134,0,0,134,0,0,After,New,lib,lib,,,,,
1590,Guilty Merge,Guilty Commit,none,Bug,amd64,3/3/2023,2/14/2023,2/14/2023,1/19/2023,17,0,0,17,0,0,After,New,drivers/tty/vt,drivers,,,,,
1595,Merge Commit,Kernel Reveal,none,warning,amd64,12/18/2022,12/13/2022,2/5/2015,2/4/2015,5,2868,1970,1975,0.9975,1,Before,Old,lib,lib,,,,,
1598,Blocking Bug,Blocking Bug,Kmemleak,Memory Leak,amd64,11/9/2020,6/7/2020,3/29/2010,3/23/2010,155,3723,1051,1206,0.8715,1,Before,Old,drivers/net/wireless/ath/ath9k,drivers,,,,,
1601,Syzkaller Commit,Syzkaller Commit,none,warning,amd64,4/11/2021,4/19/2020,2/15/2013,11/27/2012,357,2620,1002,1359,0.7373,1,Before,Old,drivers/net/wireless/ath/ath6kl,drivers,,,,,
1602,Guilty Merge,Guilty Commit,Kasan,null-ptr-deref,amd64,2/22/2023,2/21/2023,2/21/2023,2/20/2023,1,0,0,1,0,0,After,New,net/sched,net,,,,,
1605,Kernel Commit,Kernel Reveal,none,warning,amd64,2/24/2023,10/3/2022,,9/26/2022,144,7,7,151,0.0464,1,After,New,lib,lib,,,,,
1607,Kernel Commit,Kernel Reveal,Kasan,Invalid-free,amd64,2/22/2023,2/20/2023,2/7/2023,2/7/2023,2,13,13,15,0.8667,1,After,New,net/core,net,,,,,
1612,Guilty Commit,Guilty Commit,none,warning,amd64,9/30/2022,5/13/2022,,5/13/2022,140,0,0,140,0,0,After,New,include/linux,include,,,,,
1614,Syzkaller Commit,Syzkaller Commit,none,GPF,amd64,12/11/2022,4/21/2021,,4/16/2005,599,5849,1369,1968,0.6956,1,Before,Old,net/sched,net,,,,,
1616,Syzkaller Commit,Syzkaller Commit,none,Bug,amd64,1/26/2022,12/10/2021,8/6/2016,8/2/2016,47,1952,1602,1649,0.9715,1,Before,Old,drivers/vhost,drivers,,,,,
1618,Guilty Merge,Guilty Commit,none,GPF,amd64,3/9/2022,8/20/2021,8/20/2021,7/23/2021,201,0,0,201,0,0,After,New,drivers/base/power,drivers,,,,,
1619,Guilty Merge,Guilty Commit,Kmemleak,Memory Leak,amd64,3/25/2022,3/11/2022,3/11/2022,3/10/2022,14,0,0,14,0,0,After,New,drivers/net/can/usb,drivers,,,,,
1621,Merge Commit,Kernel Reveal,Kasan,Invalid-free,amd64,10/5/2022,10/5/2022,,6/11/2015,0,2673,1901,1901,1,1,Before,Old,net/ipv4,net,,,,,
1623,Blocking Bug,Blocking Bug,Kasan,use-after-free,amd64,10/18/2022,10/16/2022,3/25/2022,3/24/2022,2,205,205,207,0.9903,1,After,New,mm,mm,,,,,
1628,Blocking Bug,Blocking Bug,Kasan,use-after-free,amd64,10/28/2021,10/21/2021,9/3/2021,9/3/2021,7,48,48,55,0.8727,1,After,New,mm,mm,,,,,
1634,Kernel Commit,Kernel Reveal,Kmemleak,Memory Leak,amd64,5/22/2019,5/10/2019,1/30/2019,1/27/2019,12,100,100,112,0.8929,1,After,New,net/netrom,net,,,,,
1635,Blocking Bug,Blocking Bug,Ubsan,shift-out-of-bounds,amd64,1/21/2021,6/17/2020,4/4/2020,3/5/2020,218,74,74,292,0.2534,1,After,New,fs/exfat,fs,,,,,
1636,Template,Template,Ubsan,shift-out-of-bounds,amd64,12/16/2020,12/22/2019,,4/16/2005,360,5363,883,1243,0.7104,1,Before,Old,net/sched,net,,,,,
1638,Merge Commit,Kernel Reveal,Ubsan,shift-out-of-bounds,amd64,12/19/2020,12/21/2019,12/5/2017,12/5/2017,364,746,746,1110,0.6721,1,After,Old,net/sched,net,,,,,
1639,Syzkaller Commit,Syzkaller Commit,Ubsan,shift-out-of-bounds,amd64,12/16/2020,12/19/2018,12/5/2017,12/5/2017,728,379,379,1107,0.3424,1,After,Old,net/sched,net,,,,,
1640,Syzkaller Commit,Syzkaller Commit,Ubsan,shift-out-of-bounds,amd64,12/16/2020,12/19/2018,12/5/2017,12/5/2017,728,379,379,1107,0.3424,1,After,Old,net/sched,net,,,,,
1643,Guilty Merge,Guilty Commit,Kmemleak,Memory Leak,amd64,8/9/2020,3/30/2020,3/30/2020,3/4/2020,132,0,0,132,0,0,After,New,kernel,kernel,,,,,
1645,Blocking Bug,Blocking Bug,none,Info,amd64,7/2/2019,9/6/2018,,4/17/2017,299,507,411,710,0.5789,1,Before,Old,block,block,,,,,
1647,Blocking Bug,Blocking Bug,none,warning,amd64,5/19/2018,4/13/2018,12/13/2006,12/12/2006,36,4139,265,301,0.8804,1,Before,Old,drivers/infiniband/core,drivers,,,,,
1648,Guilty Merge,Guilty Commit,Kasan,use-after-free,amd64,3/31/2020,3/30/2020,3/30/2020,3/21/2020,1,0,0,1,0,0,After,New,kernel/time,kernel,,,,,
1651,Template,Template,Kasan,use-after-free,amd64,4/3/2018,3/6/2018,12/13/2006,12/12/2006,28,4101,227,255,0.8902,1,Before,Old,drivers/infiniband/core,drivers,,,,,
1653,Template,Template,Kasan,use-after-free,amd64,3/29/2019,6/8/2018,12/13/2006,12/12/2006,294,4195,321,615,0.522,1,Before,Old,drivers/infiniband/core,drivers,,,,,
1655,Kernel Commit,Kernel Reveal,none,GPF,amd64,11/7/2018,4/13/2018,12/13/2006,12/12/2006,208,4139,265,473,0.5603,1,Before,Old,drivers/infiniband/core,drivers,,,,,
1656,Template,Template,none,Bug,amd64,3/25/2018,3/6/2018,12/13/2006,12/12/2006,19,4101,227,246,0.9228,1,Before,Old,drivers/infiniband/core,drivers,,,,,
1657,Merge Commit,Kernel Reveal,none,Bug,amd64,2/22/2020,2/3/2020,12/28/2019,12/27/2019,19,37,37,56,0.6607,1,After,New,net/ethtool,net,,,,,
1658,Merge Commit,Kernel Reveal,Kasan,Slab-Out-of-Bounds,amd64,2/24/2020,2/3/2020,12/28/2019,12/27/2019,21,37,37,58,0.6379,1,After,New,net/ethtool,net,,,,,
1659,Guilty Merge,Guilty Commit,none,Bug,amd64,2/7/2020,2/6/2020,2/6/2020,1/27/2020,1,0,0,1,0,0,After,New,mm,mm,,,,,
1661,Merge Commit,Kernel Reveal,none,panic,amd64,2/14/2020,2/3/2020,12/28/2019,12/27/2019,11,37,37,48,0.7708,1,After,New,net/ethtool,net,,,,,
1662,Guilty Merge,Guilty Commit,none,Bug,amd64,1/20/2020,1/17/2020,1/17/2020,1/16/2020,3,0,0,3,0,0,After,New,net/netfilter,net,,,,,
1664,Guilty Merge,Guilty Commit,Kasan,use-after-free,amd64,1/20/2020,1/17/2020,1/17/2020,1/16/2020,3,0,0,3,0,0,After,New,net/netfilter,net,,,,,
1665,Blocking Bug,Blocking Bug,Kasan,Slab-Out-of-Bounds,amd64,1/21/2020,7/11/2019,,5/10/2016,194,1157,719,913,0.7875,1,Before,Old,net/ipv4,net,,,,,
1666,Syzkaller Commit,Syzkaller Commit,Kasan,Slab-Out-of-Bounds,amd64,1/7/2020,1/3/2020,7/15/2007,7/14/2007,4,4555,895,899,0.9956,1,Before,Old,drivers/net,net,,,,,
1667,Syzkaller Commit,Syzkaller Commit,Kasan,use-after-free,amd64,1/7/2020,1/3/2020,7/15/2007,7/14/2007,4,4555,895,899,0.9956,1,Before,Old,drivers/net,net,,,,,
1668,Syzkaller Commit,Syzkaller Commit,none,Info,amd64,7/21/2018,6/30/2018,2/27/2010,1/7/2010,21,3045,343,364,0.9423,1,Before,Old,crypto,crypto,,,,,
1670,Guilty Merge,Guilty Commit,none,Bug,amd64,12/1/2019,11/30/2019,11/30/2019,10/31/2019,1,0,0,1,0,0,After,New,fs,fs,,,,,
1671,Kernel Commit,Kernel Reveal,Kasan,use-after-free,amd64,11/19/2019,11/17/2019,11/16/2019,11/13/2019,2,1,1,3,0.3333,1,After,New,drivers/net/slip,drivers,,,,,
1672,Guilty Merge,Guilty Commit,none,GPF,amd64,11/3/2019,11/1/2019,11/1/2019,10/25/2019,2,0,0,2,0,0,After,New,virt/kvm,virt,,,,,
1673,Kernel Commit,Kernel Reveal,none,warning,amd64,8/27/2019,5/10/2019,,7/7/2018,109,307,307,416,0.738,1,After,Old,include/net,include,,,,,
1674,Guilty Merge,Guilty Commit,none,Info,amd64,11/3/2019,11/1/2019,11/1/2019,10/25/2019,2,0,0,2,0,0,After,New,kernel/rcu,kernel,,,,,
1675,Guilty Merge,Guilty Commit,Kmemleak,Memory Leak,amd64,8/2/2019,6/17/2019,6/17/2019,6/11/2019,46,0,0,46,0,0,After,New,net/openvswitch,net,,,,,
1679,Merge Commit,Kernel Reveal,Kmemleak,Memory Leak,amd64,9/28/2019,9/24/2019,9/24/2019,9/18/2019,4,0,0,4,0,0,After,New,fs/gfs2,fs,,,,,
1683,Merge Commit,Kernel Reveal,Kasan,Slab-Out-of-Bounds,amd64,7/29/2018,6/10/2018,5/16/2018,5/15/2018,49,25,25,74,0.3378,1,After,New,kernel/bpf,kernel,,,,,
1686,Merge Commit,Kernel Reveal,none,warning,amd64,7/17/2019,7/16/2019,7/9/2019,7/1/2019,1,7,7,8,0.875,1,After,New,net/netrom,net,,,,,
1688,Merge Commit,Kernel Reveal,none,warning,amd64,7/17/2019,7/16/2019,7/9/2019,7/1/2019,1,7,7,8,0.875,1,After,New,net/netrom,net,,,,,
1693,Template,Template,none,warning,amd64,4/12/2019,4/12/2019,3/8/2019,2/28/2019,0,35,35,35,1,1,After,New,include/linux,include,,,,,
1694,Merge Commit,Kernel Reveal,none,GPF,amd64,2/26/2019,2/24/2019,2/17/2017,2/15/2017,2,737,582,584,0.9966,1,Before,Old,net/xfrm,net,,,,,
1696,Guilty Merge,Guilty Commit,none,warning,amd64,3/11/2019,3/10/2019,3/10/2019,3/9/2019,1,0,0,1,0,0,After,New,kernel/locking,kernel,,,,,
1698,Blocking Bug,Blocking Bug,Kasan,use-after-free,amd64,12/29/2018,7/18/2018,1/26/2018,1/26/2018,164,173,173,337,0.5134,1,After,New,net/smc,net,,,,,
1699,Blocking Bug,Blocking Bug,Kasan,use-after-free,amd64,7/30/2018,7/19/2018,1/26/2018,1/26/2018,11,174,174,185,0.9405,1,After,New,net,net,,,,,
1701,Template,Template,none,warning,amd64,1/3/2019,11/17/2018,,10/18/2018,47,30,30,77,0.3896,1,After,New,net/ipv4,net,,,,,
1706,Guilty Merge,Guilty Commit,none,GPF,amd64,8/2/2018,7/19/2018,7/19/2018,7/16/2018,14,0,0,14,0,0,After,New,net/smc,net,,,,,
1708,Guilty Merge,Guilty Commit,none,Bug,amd64,6/5/2018,6/4/2018,6/4/2018,5/26/2018,1,0,0,1,0,0,After,New,fs,fs,,,,,
1710,Guilty Merge,Guilty Commit,none,Bug,amd64,6/8/2018,6/4/2018,6/4/2018,5/26/2018,4,0,0,4,0,0,After,New,net,net,,,,,
