Bug Number,Fix Date,Find Date,Delay 1,Delay 2,Fix Delay,D1 + D2
2,2022-07-26,2022-07-15,2,0,11,2
3,2022-08-25,2020-10-07,6,1167,687,1173
4,2022-04-02,2022-03-19,3,641,14,644
6,2022-03-21,2022-03-16,0,641,5,641
7,2022-03-21,2022-03-16,0,641,5,641
12,2022-04-04,2020-05-22,53,982,682,1035
16,2022-01-18,2021-10-10,572,557,100,1129
18,2022-08-30,2022-08-21,10,3,9,13
19,2022-08-30,2022-08-21,10,3,9,13
20,2022-08-17,2022-08-13,2,16,4,18
21,2022-11-07,2022-01-06,851,778,305,1629
29,2022-09-01,2022-08-22,9,0,10,9
30,2022-07-26,2021-07-14,11,1442,377,1453
32,2023-01-06,2022-12-15,1,9,22,10
34,2022-08-25,2021-12-26,692,836,242,1528
35,2022-12-19,2022-12-14,9,0,5,9
36,2022-01-18,2021-12-13,62,882,36,944
44,2022-11-02,2022-08-16,551,0,78,551
47,2023-01-30,2019-11-29,136,724,1158,860
50,2022-05-27,2022-05-25,9,0,2,9
51,2022-02-21,2021-12-18,274,486,65,760
52,2022-11-01,2022-10-08,121,477,24,598
53,2022-09-20,2022-09-02,8,0,18,8
54,2022-08-31,2022-08-26,679,356,5,1035
55,2023-01-02,2022-11-25,476,0,38,476
57,2022-09-20,2022-09-15,21,0,5,21
60,2022-11-08,2022-10-29,402,606,10,1008
67,2022-07-05,2022-05-29,6,0,37,6
68,2022-11-29,2022-08-28,157,1442,93,1599
69,2022-11-04,2022-09-08,70,1738,57,1808
70,2022-10-19,2022-10-12,274,1634,7,1908
72,2022-10-03,2022-10-02,8,1890,1,1898
73,2022-05-03,2021-01-17,163,1112,471,1275
74,2022-07-28,2022-07-13,24,1793,15,1817
76,2022-05-13,2021-09-23,34,0,232,34
77,2022-06-20,2021-05-08,9,647,408,656
78,2022-04-01,2022-01-07,28,996,84,1024
79,2022-03-26,2022-03-25,24,0,1,24
81,2022-08-25,2022-08-22,11,19,3,30
82,2022-04-15,2022-02-21,41,61,53,102
83,2022-04-11,2022-04-09,386,757,2,1143
85,2022-05-16,2022-05-13,1,0,3,1
86,2022-03-14,2022-03-12,758,936,2,1694
88,2022-10-05,2022-08-21,10,20,45,30
91,2022-11-30,2022-10-24,8,35,37,43
93,2022-10-03,2022-09-05,485,1386,28,1871
94,2023-01-11,2022-12-17,17,0,25,17
95,2022-03-05,2022-02-07,11,12,26,23
97,2022-03-04,2022-02-18,108,61,14,169
103,2022-11-04,2021-09-04,144,1361,426,1505
104,2022-05-13,2022-04-10,282,1441,33,1723
105,2022-11-25,2022-07-01,37,1768,147,1805
108,2022-03-25,2022-03-25,1,0,0,1
109,2022-03-25,2022-03-25,1,0,0,1
111,2022-02-21,2022-02-16,174,119,5,293
113,2022-11-23,2022-11-18,1,0,5,1
114,2022-11-23,2022-11-19,2,0,4,2
115,2022-11-23,2022-11-22,5,0,1,5
119,2022-11-15,2018-05-30,12,300,1630,312
122,2022-09-09,2020-12-15,347,895,633,1242
124,2022-09-09,2021-05-12,495,895,485,1390
127,2022-06-08,2022-06-02,8,260,6,268
144,2022-11-23,2022-11-22,19,0,1,19
151,2022-11-07,2022-10-16,20,0,22,20
152,2022-11-07,2022-10-23,27,0,15,27
157,2022-05-20,2022-05-17,16,144,3,160
158,2022-04-21,2022-04-15,7,0,6,7
159,2022-08-19,2022-08-12,1,0,7,1
160,2022-12-14,2022-12-04,55,44,10,99
164,2022-10-28,2022-09-20,160,0,38,160
166,2022-04-12,2022-03-14,173,1523,29,1696
172,2022-03-07,2021-09-12,74,1439,176,1513
177,2022-10-27,2022-10-26,10,7,1,17
183,2022-03-31,2021-05-28,88,1318,307,1406
192,2022-07-12,2022-06-01,43,70,41,113
208,2022-08-02,2022-07-18,24,1798,15,1822
212,2022-10-11,2022-10-07,3,0,4,3
213,2022-03-09,2022-03-04,127,1559,5,1686
225,2021-12-31,2021-11-11,252,1203,50,1455
227,2021-09-14,2021-09-06,3,35,8,38
231,2021-10-05,2021-09-21,153,125,14,278
237,2021-12-13,2021-12-08,92,160,5,252
239,2021-11-15,2021-02-16,138,1167,272,1305
241,2021-12-15,2021-12-12,81,556,3,637
244,2021-09-28,2021-09-28,12,553,0,565
252,2021-10-26,2021-10-18,25,1524,8,1549
253,2022-01-09,2021-12-02,45,0,38,45
255,2021-12-20,2021-12-19,88,366,1,454
256,2022-01-11,2021-12-13,40,465,29,505
257,2021-09-22,2021-09-09,4,1506,13,1510